config,m,n,seed,algo,K_mult,cmax,lb,gap_pct,time_ms,assign_sha16
eval-m2-n50,2,50,3021,multifit,,1239,1239,0.000000,0.092,b3a18e09dabda97c
eval-m2-n50,2,50,3021,lpt_ls,,1239,1239,0.000000,0.048,e36c21d737b7c358
eval-m2-n50,2,50,3021,rol,4,1239,1239,0.000000,0.116,e36c21d737b7c358
eval-m2-n50,2,50,3022,lpt,,1263,1261,0.158604,0.021,ada91e4425e58e1d
eval-m2-n50,2,50,3022,multifit,,1261,1261,0.000000,0.082,7d499690f7c3b9f3
eval-m2-n50,2,50,3022,lpt_ls,,1261,1261,0.000000,0.083,ffc65f172add2aff
eval-m2-n50,2,50,3022,rol,4,1263,1261,0.158604,0.122,ada91e4425e58e1d
eval-m2-n50,2,50,3023,lpt,,1204,1204,0.000000,0.021,b057dd060490954d
eval-m2-n50,2,50,3023,multifit,,1205,1204,0.083056,0.088,2bc50bade8d91ce5
eval-m2-n50,2,50,3023,lpt_ls,,1204,1204,0.000000,0.061,b057dd060490954d
eval-m2-n50,2,50,3023,rol,4,1204,1204,0.000000,0.117,b057dd060490954d
eval-m2-n50,2,50,3024,lpt,,1142,1142,0.000000,0.022,e078422d94c332ca
eval-m2-n50,2,50,3024,multifit,,1143,1142,0.087566,0.086,9696298e4ab140e1
eval-m2-n50,2,50,3024,lpt_ls,,1142,1142,0.000000,0.061,e078422d94c332ca
eval-m2-n50,2,50,3024,rol,4,1142,1142,0.000000,0.114,e078422d94c332ca
eval-m2-n50,2,50,3025,lpt,,1251,1251,0.000000,0.022,8177db51d7fafdae
eval-m2-n50,2,50,3025,multifit,,1251,1251,0.000000,0.088,d19a7a8a0d248611
eval-m2-n50,2,50,3025,lpt_ls,,1251,1251,0.000000,0.047,8177db51d7fafdae
eval-m2-n50,2,50,3025,rol,4,1251,1251,0.000000,0.123,8177db51d7fafdae
eval-m2-n50,2,50,3026,lpt,,1253,1251,0.159872,0.023,32b7cfe049055524
eval-m2-n50,2,50,3026,multifit,,1251,1251,0.000000,0.085,92bb5eb9ab3527ba
eval-m2-n50,2,50,3026,lpt_ls,,1251,1251,0.000000,0.077,23580802423a009e
eval-m2-n50,2,50,3026,rol,4,1253,1251,0.159872,0.115,32b7cfe049055524
eval-m2-n50,2,50,3027,lpt,,1371,1370,0.072993,0.022,9e0568ae5d62e840
eval-m2-n50,2,50,3027,multifit,,1370,1370,0.000000,0.089,6bc907538e71950e
eval-m2-n50,2,50,3027,lpt_ls,,1370,1370,0.000000,0.085,a665f2d1b0d1c3ce
eval-m2-n50,2,50,3027,rol,4,1370,1370,0.000000,0.117,e816982ef070590f
eval-m2-n50,2,50,3028,lpt,,1209,1208,0.082781,0.021,c1fae4cafee0f19b
eval-m2-n50,2,50,3028,multifit,,1209,1208,0.082781,0.084,a28f88aed078fa60
eval-m2-n50,2,50,3028,lpt_ls,,1208,1208,0.000000,0.070,055d8983fd06b2a4
eval-m2-n50,2,50,3028,rol,4,1209,1208,0.082781,0.115,c1fae4cafee0f19b
eval-m2-n50,2,50,3029,lpt,,1172,1172,0.000000,0.021,ba66397384a10a0f
eval-m2-n50,2,50,3029,multifit,,1172,1172,0.000000,0.086,e4e0e5a836f2f5be
eval-m2-n50,2,50,3029,lpt_ls,,1172,1172,0.000000,0.126,ba66397384a10a0f
eval-m2-n50,2,50,3029,rol,4,1172,1172,0.000000,0.124,ba66397384a10a0f
eval-m2-n100,2,100,3000,lpt,,2474,2474,0.000000,0.046,6bc32fd6bf7c56ae
eval-m2-n100,2,100,3000,multifit,,2474,2474,0.000000,0.173,2ae6846bb18c0ee1
eval-m2-n100,2,100,3000,lpt_ls,,2474,2474,0.000000,0.091,6bc32fd6bf7c56ae
eval-m2-n100,2,100,3000,rol,4,2474,2474,0.000000,0.249,6bc32fd6bf7c56ae
eval-m2-n100,2,100,3001,lpt,,2515,2515,0.000000,0.042,b227177ff2083b3c
eval-m2-n100,2,100,3001,multifit,,2515,2515,0.000000,0.177,240ae654c1fa05c9
eval-m2-n100,2,100,3001,lpt_ls,,2515,2515,0.000000,0.138,b227177ff2083b3c
eval-m2-n100,2,100,3001,rol,4,2515,2515,0.000000,0.222,b227177ff2083b3c
eval-m2-n100,2,100,3002,lpt,,2253,2253,0.000000,0.054,ecd30faa0e93e1a7
eval-m2-n100,2,100,3002,multifit,,2253,2253,0.000000,0.177,0abb528912a22ba2
eval-m2-n100,2,100,3002,lpt_ls,,2253,2253,0.000000,0.099,ecd30faa0e93e1a7
eval-m2-n100,2,100,3002,rol,4,2253,2253,0.000000,0.209,ecd30faa0e93e1a7
eval-m2-n100,2,100,3003,lpt,,2520,2520,0.000000,0.038,b748ca6e292db897
eval-m2-n100,2,100,3003,multifit,,2520,2520,0.000000,0.174,9b6f56403b8756ca
eval-m2-n100,2,100,3003,lpt_ls,,2520,2520,0.000000,0.078,b748ca6e292db897
eval-m2-n100,2,100,3003,rol,4,2520,2520,0.000000,0.221,b748ca6e292db897
eval-m2-n100,2,100,3004,lpt,,2790,2790,0.000000,0.037,444e95a3679ac9a6
eval-m2-n100,2,100,3004,multifit,,2790,2790,0.000000,0.170,c51b1e512ab31cbe
eval-m2-n100,2,100,3004,lpt_ls,,2790,2790,0.000000,0.097,444e95a3679ac9a6
eval-m2-n100,2,100,3004,rol,4,2790,2790,0.000000,0.226,444e95a3679ac9a6
eval-m2-n100,2,100,3005,lpt,,2607,2607,0.000000,0.036,455270d0dea0e864
eval-m2-n100,2,100,3005,multifit,,2607,2607,0.000000,0.170,b5e28e4668d06f31
